Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
15.03.2022, 07:51:59, MC-HOVSETER, 2963, Anrop 441, 441, Done, 22 Hovseterhjemmet 4A, No message for alarm 2963, 441, 441, 62303788, 07:52:01, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 07:51:59, MC-HOVSETER, 2963, Anrop 441, 441, Done, 22 Hovseterhjemmet 4A, No message for alarm 2963, 441, 441, 62303788, 07:52:01, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
15.03.2022, 07:51:59, MC-HOVSETER, 2963, Anrop 441, 441, Done, 22 Hovseterhjemmet 4A, No message for alarm 2963, 441, 441, 62303788, 07:52:01, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
15.03.2022, 07:48:23, MC-HOVSETER, 2963, Anrop 441, 441, Done, 22 Hovseterhjemmet 4A, No message for alarm 2963, 441, 441, 623036B0, 07:48:25, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
15.03.2022, 07:48:23, MC-HOVSETER, 2963, Anrop 441, 441, Done, 22 Hovseterhjemmet 4A, No message for alarm 2963, 441, 441, 623036B0, 07:48:26, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
15.03.2022, 07:48:23, MC-HOVSETER, 2963, Anrop 441, 441, Done, 22 Hovseterhjemmet 4A, No message for alarm 2963, 441, 441, 623036B0, 07:48:25, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 07:41:11, MC-HOVSETER, 2963, Anrop 441, 441, Done, 22 Hovseterhjemmet 4A, No message for alarm 2963, 441, 441, 62303500, 07:41:12, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
15.03.2022, 07:41:11, MC-HOVSETER, 2963, Anrop 441, 441, Done, 22 Hovseterhjemmet 4A, No message for alarm 2963, 441, 441, 62303500, 07:41:13, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 07:41:11, MC-HOVSETER, 2963, Anrop 441, 441, Done, 22 Hovseterhjemmet 4A, No message for alarm 2963, 441, 441, 62303500, 07:41:12, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
15.03.2022, 05:35:46, MC-HOVSETER, 2948, Borte 441, 441, Canceled, Empty group, No message for alarm 2948, 441, 441, 623017A1, 01:00:00, , , , No Answer
15.03.2022, 05:35:45, MC-HOVSETER, 2933, Tilstede 441, 441, Canceled, Empty group, No message for alarm 2933, 441, 441, 623017A0, 01:00:00, , , , No Answer
15.03.2022, 05:34:34, MC-HOVSETER, 2948, Borte 441, 441, Canceled, Empty group, No message for alarm 2948, 441, 441, 62301759, 01:00:00, , , , No Answer
15.03.2022, 05:34:33, MC-HOVSETER, 2933, Tilstede 441, 441, Canceled, Empty group, No message for alarm 2933, 441, 441, 62301758, 01:00:00, , , , No Answer
15.03.2022, 05:31:27, MC-HOVSETER, 2963, Anrop 441, 441, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2963, 441, 441, 62301698, 05:31:28, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Executed
15.03.2022, 05:31:27, MC-HOVSETER, 2963, Anrop 441, 441, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2963, 441, 441, 62301698, 05:31:29, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 05:31:27, MC-HOVSETER, 2963, Anrop 441, 441, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2963, 441, 441, 62301698, 05:31:29, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
15.03.2022, 02:57:24, MC-HOVSETER, 2936, Tilstede 446, 446, Canceled, Empty group, No message for alarm 2936, 446, 446, 622FF281, 01:00:00, , , , No Answer
15.03.2022, 02:57:24, MC-HOVSETER, 2951, Borte 446, 446, Canceled, Empty group, No message for alarm 2951, 446, 446, 622FF282, 01:00:00, , , , No Answer
15.03.2022, 02:54:19, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FF1C4, 02:54:21, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 02:54:19, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FF1C4, 02:54:20, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
15.03.2022, 02:54:19, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FF1C4, 02:54:20, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Rejected
15.03.2022, 02:50:42, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FF0EC, 02:50:44, Hovseterhjemmet-56 Natt 4 2, 90633721, 3G+, Executed
15.03.2022, 02:50:42, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FF0EC, 02:50:44, Shuttle 4. etg, 10.10.10.44, IND, Executed
15.03.2022, 02:50:42, MC-HOVSETER, 2966, Anrop 446, 446, Done, 45 Hovseterhjemmet Natt 4, No message for alarm 2966, 446, 446, 622FF0EC, 02:50:44, Hovseterhjemmet-55 Natt 4 1, 90610798, 3G+, Rejected
