Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
31.01.2022, 08:09:55, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78B40
31.01.2022, 08:07:08, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78A98
31.01.2022, 08:06:12, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F78A61
31.01.2022, 08:03:50, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F789D2
31.01.2022, 08:03:47, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F789CF
31.01.2022, 08:03:43, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F789CB
31.01.2022, 08:03:40, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Escalated & Done, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F789C8
31.01.2022, 08:00:10, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F788F7
31.01.2022, 08:00:07, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F788F3
31.01.2022, 08:00:04, MC-HOVSETER, 5028, Detektor 1H3 ID: 146, 1H3  146  DCT, Canceled, 12 Hovseterhjemmet 1C, 1H3;;;;;Sensor;;;4, Terminal alarm e, Terminal alarm e, 61F788F0
